NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
SH3TC1	1	SH3TC1	
KRT16P2	1	KRT16P2	
KRT16P6	1	KRT16P6	
NOS2P4	1	NOS2P4	
UPF3AP1	1	UPF3AP1	
COTL1P1	1	COTL1P1	
FAM106C	1	FAM106CP	
CCDC144A	1	CCDC144A	
USP32P1	1	USP32P1	
SRP68P1	1	SRP68P1	
KRT17P4	1	KRT17P4	
KRT17P1	1	KRT17P1	
FTLP12	1	FTLP12	
PIGL	1	PIGL	
CENPV	1	CENPV	
MIR1288	1	MIR1288	
UBB	1	UBB	
FTLP13	1	FTLP13	
NCOR1P2	1	NCOR1P2	
FAM27E5	1	FAM27L	
KCNJ18	1	KCNJ18	
UBBP4	1	UBBP4	
FXYD4	1	FXYD4	
RET	1	RET	
ZNF33B	1	ZNF33B	
CSGALNACT2	1	CSGALNACT2	
ZNF37BP	1	ZNF37BP	
CUBNP1	1	CUBNP1	
FXYD6P1	1	FXYD6P1	
DUXAP3	1	DUXAP3	
MIR5100	1	MIR5100	
CCNYL2	1	CCNYL2	
RASGEF1A	1	RASGEF1A	
EIF3LP2	1	EIF3LP2	
BMS1	1	BMS1	
HACD4	1	PTPLAD2	
IFNWP4	1	IFNWP4	
FOCAD	1	FOCAD	
IFNNP1	1	IFNNP1	
IFNB1	1	IFNB1	
MIR491	1	MIR491	
HMGB1P28	1	HMGB1P28	
ELOCP33	1	TCEB1P33	
MIR574	1	MIR574	
GRXCR1	1	GRXCR1	
NSUN7	1	NSUN7	
TMEM33	1	TMEM33	
TLR10	1	TLR10	
MIR4802	1	MIR4802	
PABPC1P1	1	PABPC1P1	
WDR19	1	WDR19	
TMEM156	1	TMEM156	
FAM114A1	1	FAM114A1	
ZBTB12BP	1	ZBTB12P1	
KRT18P25	1	KRT18P25	
SMIM14	1	SMIM14	
RFC1	1	RFC1	
CCNL2P1	1	CCNL2P1	
BEND4	1	BEND4	
KLF3	1	KLF3	
DCAF4L1	1	DCAF4L1	
LIMCH1	1	LIMCH1	
LIAS	1	LIAS	
N4BP2	1	N4BP2	
MIR5591	1	MIR5591	
UCHL1	1	UCHL1	
ATP1B1P1	1	ATP1B1P1	
RHOH	1	RHOH	
TLR1	1	TLR1	
