sample_id	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
TCGA-DX-AATS-01A-12D-A416-01	19.1931	64.5641	22.9102	19.0017	89.8602	169.701	77.4418	0.2529	132.8727	0.0	2.1841	28.0339	0.0	0.0	5.8992	7.0606	3.2671	113.4391	30.4289	23.0428	1.8256	0.0
TCGA-HB-A3YV-01A-11D-A24M-01	83.0193	7.6979	1.8474	171.7201	24.3865	724.9033	54.7125	4.9287	19.463	0.3293	11.3127	457.1314	22.5502	4.2322	3.0079	0.0	11.0685	24.7185	12.6716	15.7246	2.1993	3.6393
TCGA-QQ-A5V2-01A-11D-A32H-01	0.0	0.0	0.0	1.3288	0.0	0.7517	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TCGA-QQ-A5V9-01A-11D-A32H-01	0.0	0.2603	51.6674	1.8828	25.0807	10.4225	23.5328	2.8322	25.5358	0.0	0.5945	0.5873	0.0	2.6222	0.0	2.374	0.5238	5.1303	3.3887	15.9193	61.4459	0.594
TCGA-DX-A8BT-01A-11D-A37B-01	0.0	0.3219	1.0791	0.4681	11.1558	0.0	27.2133	0.0	0.0	22.2144	0.0	0.0	0.0	65.1145	1.829	2.1053	0.0	0.0	11.3231	0.0	0.0	3.2625
TCGA-DX-A8BM-01A-11D-A416-01	19.9997	71.997	4.5659	13.1016	58.8575	45.459	48.2909	43.133	6.5735	38.4818	0.0	22.055	27.6186	2.9781	8.6986	3.2379	38.9135	11.3279	34.3737	15.3461	0.4974	0.7033
TCGA-DX-AB2P-01A-11D-A386-01	7.8666	5.2115	1.0894	18.5755	18.3061	2.8179	0.0	12.0279	4.6423	0.0	0.0	0.8585	22.0592	12.899	2.0887	2.191	15.0086	1.1114	0.2677	13.5381	0.0	1.0153
TCGA-DX-A8BN-01A-11D-A37B-01	0.0	0.5382	4.9194	0.0	42.5196	50.2141	4.1017	5.8661	0.0	0.0	0.5603	0.8475	10.7164	0.0	6.5411	21.1039	3.7941	0.0	40.1054	0.0	0.0	0.0
TCGA-FX-A3TO-01A-11D-A227-01	18.3982	7.2104	30.5365	7.0654	59.8459	18.2381	50.7811	4.117	77.7429	10.3981	85.4046	130.6112	0.0	14.4554	205.0268	0.0	112.1568	55.2124	11.0239	22.1625	1.5379	6.3911
TCGA-DX-AB2Q-01A-11D-A38Y-01	2.4879	8.3464	3.5686	18.8733	8.8821	5.4941	39.2051	124.0651	5.0963	22.9214	129.6238	8.6295	0.0	6.6969	10.0317	2.111	24.6623	2.1577	1.7292	27.8605	5.2608	12.4442
TCGA-VT-A80G-01A-11D-A36I-01	21.3091	50.3923	21.0859	114.5755	13.8579	13.8714	14.9666	11.9595	34.1784	2.1309	11.0834	10.3888	0.0	2.693	3.1402	1.4762	12.6778	5.6671	3.8855	19.1955	0.2736	7.5188
TCGA-QC-A7B5-01A-11D-A33D-01	10.5452	0.0	0.0	0.0	0.0	0.0	6.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2307	2.6056	0.0	3.4039	3.9139	0.0	0.0
TCGA-QC-AA9N-01A-11D-A38Y-01	2.8716	9.1641	10.4425	5.1374	1.4788	2.6141	15.098	1.4729	12.8321	2.1206	2.7841	26.3664	26.2944	0.8278	0.5816	4.1496	12.0423	6.2331	3.5612	8.3308	69.679	0.2875
TCGA-X9-A973-01A-11D-A386-01	0.0	0.0	0.0	0.0	0.0	4.1868	12.2597	0.0	0.0	0.0	0.0	4.8249	5.3354	0.0	0.0	0.0	0.0	1.6324	3.26	0.0	0.0	0.0
TCGA-DX-A8BR-01A-11D-A416-01	35.1093	0.7781	70.8315	273.021	0.0	2.3759	280.0312	0.0	0.0	33.5822	81.9355	0.0	7.0643	7.2315	0.8602	0.0	0.0	0.0	0.0	0.0	0.3377	2.1906
TCGA-DX-A7ET-01A-11D-A36I-01	4.4242	2.0178	0.8091	2.5745	30.6713	21.2006	4.0448	3.9648	22.1136	1.4649	0.27	1.3293	0.0	3.6408	5.8133	0.0	0.0	0.0	43.3349	1.1497	1.9788	3.7499
TCGA-DX-A8BL-01A-11D-A416-01	36.699	11.0674	66.4722	27.7286	16.4453	24.4863	0.8613	25.8647	8.802	11.6873	10.1314	20.4303	0.0	19.9818	4.9788	9.1485	4.0565	2.4047	51.2885	42.8337	2.0802	0.0
TCGA-HB-A2OT-01A-11D-A21P-01	1.3242	0.0	0.0	4.7078	5.2615	5.3273	4.6895	0.0	2.1351	2.2398	0.0	1.5881	9.1568	0.5941	0.0	5.6649	5.501	0.0	0.0	0.3014	0.0	1.4732
TCGA-MB-A5Y8-01A-11D-A29M-01	17.7947	5.9423	2.8481	2.8763	0.4191	4.2617	6.2894	2.5942	5.0917	1.4231	0.2597	1.3278	0.0	0.0	1.1104	0.3108	2.6315	0.0	0.3031	14.0455	5.6698	0.0
TCGA-X6-A8C2-01A-11D-A36I-01	99.229	9.299	22.4114	19.8672	62.8727	17.1396	12.8392	3.9649	1.0472	3.6308	0.5407	10.2368	3.435	0.0	0.5026	1.1386	14.7642	4.719	3.9981	5.0928	0.0	0.0
TCGA-DX-A8BH-01A-11D-A37B-01	0.0	7.9033	89.6331	0.5607	13.2398	0.0	36.7065	23.9446	73.7776	0.0	5.6318	5.1526	0.0	2.2926	0.0	2.5434	1.0436	3.5646	1.8696	2.2995	1.6761	1.0586
TCGA-SG-A6Z4-01A-22D-A33D-01	9.9547	0.9184	19.8325	9.2604	0.0	4.1979	4.074	5.7526	3.9033	4.0848	4.2605	0.0	10.1175	3.029	4.1393	0.7322	5.2071	0.0	3.1863	4.4257	0.0	1.1316
TCGA-MB-A5Y9-01A-11D-A29M-01	0.0	0.0	0.0	13.9548	0.6272	4.7408	3.6724	3.4982	0.0	1.7903	10.4607	2.8844	16.7537	8.3749	0.6491	0.0	0.2584	0.5512	0.0	9.2509	0.0	0.7657
