1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
TCGA-VT-A80G-11A-22D-A36L-01	0	0	0	0	0	2.6852	0	0	0	0	0	0	0	3.4419	0	0	0	0	0	0	0	0
TCGA-IE-A3OV-01A-11D-A227-01	8.0699	10.9285	5.7164	0.5626	2.7399	4.4683	0	8.2525	4.0718	0	0	1.73	1.8886	3.9213	0	7.1065	6.5723	3.4213	8.0869	2.6525	0.912	2.9181
TCGA-DX-A240-01A-32D-A27O-01	256.108	3.955	3.5516	0	0	44.0026	72.6131	0	0	0	0	605.8508	0	5.1933	0	0	0	0	0	0	0	0
TCGA-DX-A3LW-01A-21D-A21P-01	42.389	0	1.2506	297.0569	3.3625	0.4592	1.2927	0	4.2014	0	0	473.7663	0.306	1.4359	0	0	0	1.819	4.1413	3.692	0.254	0
TCGA-QQ-A8VG-10A-01D-A37E-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8355	0	0
TCGA-DX-A23V-01A-11D-A29M-01	167.9975	7.1097	0	0	0	0	9.8937	0	3.6627	4.9601	0.291	439.2396	27.1507	0	0	0.6408	0	0	0	0	0	0
TCGA-DX-A6YQ-10A-01D-A33G-01	0	0	0	0	0	0	0	0	0	0	3.7577	0	0	0	0	0	0	0	0	0	0	5.0577
TCGA-K1-A42X-11A-11D-A24M-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-DX-A3M2-01A-21D-A227-01	11.6792	0.8042	0	1.4212	93.923	8.6398	32.2908	7.6994	3.6086	0.4861	1.9291	3.0841	0.4274	0	0	1.4182	13.0295	2.763	2.5692	0.684	3.0137	0
TCGA-DX-AB30-10A-01D-A38Y-01	0	0	0	0	0	0	0	0	2.0513	0	0	0	0	1.1828	0	0	3.222	0	0	0	0	0
TCGA-PC-A5DK-10A-01D-A27O-01	0	0	0	0	0	0	0	0	0	0.9953	0	0	0	0	0	0	0	0	0	3.2441	0	0
TCGA-DX-A48U-01A-11D-A306-01	2.0701	0.2614	3.7479	0.2799	0.7702	0.522	0.2647	1.1886	1.5374	0	3.3752	0.5154	0.2894	0	0.2659	0.5198	1.1922	0	0.2713	0.8791	0.2636	0.2662
TCGA-QQ-A8VH-01A-11D-A37B-01	5.3073	6.8925	0.5536	14.8108	5.505	0.5237	10.8568	69.6772	0.7821	10.7522	11.4729	4.3083	6.1425	41.6152	3.7612	0	6.2487	0	45.078	20.2926	59.7948	9.6773
TCGA-DX-A23Z-01A-11D-A27O-01	9.7021	118.1186	0	4.2113	59.7724	289.8504	24.3466	34.365	67.8808	182.559	339.8786	461.5487	29.6706	0	6.8595	0	0	1.3732	5.2355	0	0	0
TCGA-DX-A23T-01A-11D-A26F-01	9.2596	7.4312	0	0	81.4955	197.8917	38.2266	227.7477	1.0281	8.3219	265.7549	219.0356	15.1063	4.3367	0	1.4762	0	0	0	1.1396	19.238	0
TCGA-DX-A8BP-01A-11D-A37B-01	4.6012	11.5325	6.5929	0	35.4867	0	7.9765	2.1288	4.879	0	0.3291	0	2.45	0	0	0	0	0	1.9721	5.0407	0	0
